,Brand,Model,Price,Engine Capacity,Classification,Registration Date,COE Expiry Date,Mileage,No. of owners,Type of Vehicle,Listing Details,Price (06-Jul-2022),Price (07-Jul-2022),Price (08-Jul-2022),Price (12-Jul-2022)
394,Honda,Honda ST1300A Pan-European,SGD$12000,1261cc,Class 2,9-Sep-10,31-Jul-30,53000km,3,Sport Tourers, Dark Blue/ Black Honda ST1300A Pan-European.For Sports Tourer Lover.Selling As Under-utilized. Fully Paid.Hope Next Owner Can Maximize Its Potential. ,SGD$12000,SGD$12000,SGD$12000,SGD$12000
395,Ducati,Ducati 1198S,SGD$21000,1198cc,Class 2,11-Dec-09,10-Dec-29,47000km,2,Sport Bikes,  ,SGD$21000,SGD$21000,SGD$21000,SGD$21000
396,Honda,Honda CB150R ExMotion,Carry On Installment,149cc,Class 2B,10-May-18,9-May-28,100000km,2,Sport Bikes," Selling My Beloved First Bike 2018 Honda CB150R ExMotion.A Very Good First Bike For All Beginners To Start On. Full Engine Overhaul At 89000Km.Regular Service At 2000Km. High Fuel Economy. Selling At Cash $5000 (Negotiable).COI $235 X 20mth.For Full Cash, Do Top Up To $6300 On Existing Cash.(Installment And Early Settlement Fee To Transfer Of Ownership Straight Away). ",Carry On Installment,,Carry On Installment,Carry On Installment
397,Aprilia,Aprilia Tuono V4 R APRC,SGD$8000,1000cc,Class 2,15-Jul-13,14-Jul-23,20000km,6,Sport Bikes," Aprilia Tuono V4 R APRC Almost The Most Perfect Engine Configuration.Most Motogp Bikes Are V4 Engines Aprilia.Very Low Km.Good For Renewal - All Working Well.Selling As Mental Motorbike , Need Younger Riders.*Side Box Owner Keeping. Accessories- Carbon Bits",SGD$8000,SGD$8000,SGD$8000,SGD$8000
398,Suzuki,Suzuki Burgman 650 Executive Abs,SGD$16000,638cc,Class 2,29-Nov-17,28-Nov-27,72000km,2,Scooters, Registered Dec 2017 Suzuki Burgman 650 Executive.2 Auto Modes ( Normal + Power).1 Semi-auto Mode With Gear Adjust Switch (6 Virtual Gears).Storage Under Seat For 2 Large Helmets.Feature Functions As Below:-Heated Grips And Seats.-Electronically Height Adjustable Windscreen.-One Touch Electric Folding Mirrors.-3 Storage Compartments In Front; 1 Lockable.-Reach Adjustable Lumbar Support For Rider. Accessories- Givi Large Touring Windshield- Givi Pannier Rack & E22 Panniers- Givi Alu 58L Top Box- Hella Sharptone Horns- Camera Front & Rear- Tpms Solar - Phone Holder- Brake Reservoir Swnu Rammount- Helmet Holder At Top Box Rack,SGD$16000,SGD$16000,SGD$15500,SGD$15500
399,Yamaha,Yamaha YZF-R1,SGD$13888,998cc,Class 2,7-Aug-08,6-Aug-28,102700km,2,Sport Bikes, New Paintwork Yamaha YZF-R1 For Sale.Nice Number Plate.Outlook 9/10.Engine: 9/10.Road Tax Just Renew In Feb 2022.Price Nego.Contact Roland To Deal. AccessoriesAkrapovic Carbon Racing Exhaust (With Certificate).Brembo Rizoma Brake.,SGD$13888,,SGD$13888,SGD$13888
400,KTM,KTM 1290 Super Adventure R,SGD$28500,1301cc,Class 2,4-May-18,3-May-28,33200km,2,Sport Tourers, 2018 Ktm Super Adv 1290 R Opening Of Borders Sale!Equipped With Ktm My Ride With Accessories. Major Servicing Just Done At 30K At Dirtwheel With Receipt.Newly Replaced Tyres.Chat To Enquire More.Looking For Fast Deal. Accessories- Quickshifter- Hill Control- Leo Vince Exhaust- Scottoiler- 42L Kappa Box,SGD$28500,,SGD$28500,SGD$28500
401,Honda,Honda CB400 Super 4 Revo,SGD$13000,399cc,Class 2A,27-Oct-09,31-Aug-29,-,3,Street Bikes," 2009 Revo Gen 1 For Sale. Superbly Maintained With Full Records.Comes With Accessories For Enhanced Handling.Just Serviced/Replaced: Sbs Rear Pads,Supersprox Full Sprocket Set With Did 525 Chain,Revo Fuel Pump,Revo Thermostat With Coolant Cap And Flushed,Stock Clutch Set,Bridgestone S21 Tyres With Ariete L-valve, Yuasa Battery.Serviced Regularly At 5000Km With Liquimoly 5W40 Fully Synthetic Oil. Always Pumped With 98.Number Plate To Be Retained. Selling To Upgrade.Not For Trading And Full Cash Only. Come View To Believe.For Those Who Appreciate A Good Bike. AccessoriesGpr Carbon Wrapped Endcan (Lta Approved With Cert).Security Seal For Exhaust.Proti Fully Forged Banjo Bolts For Rcs19.Brembo Rcs19 Brake Master Pump.Rizoma Cylinder With Bracket Front.Rizoma Cylinder With Bracket Rear.Rizoma Shorty Mirrors.Motovation Barends.Bmw Ariete Grips With Grab-on-grips.Hel Steel Braided Brake Hose (Front And Back).Ebc Front Brake Rotors.Ebc Rear Brake Rotor.Ebc Front Brake Pads.Ebc Clutch Plates.Bmc Air Filter (Washable).Original Honda Mainstand With Rizoma Bigfoot For Side Stand.Kuso Voltmeter.Honda Gear Viewer.Steelmate 2-way Security Alarm With 2 Remotes.Givi Rack With Kappa Aluminium Box 42L.Hella Horns.Loobman Chain Oiler.",SGD$13000,SGD$13000,SGD$13000,SGD$13000
402,BMW,BMW R1200GS Adventure,SGD$14000,1170cc,Class 2,26-Apr-13,25-Apr-23,99999km,2,Sport Tourers, Last Generation Of BMW R1200GS Adventure Oil Cool.In Superb Condition. Low Mileage. Beautiful Number Plate Will Be Given.So Hurry Dm Me. Slight Negotiable. Low Ballers Will Not Be Entertained. ,SGD$14000,SGD$14000,SGD$14000,SGD$14000
403,Honda,Honda CBF190X Fighthawk,SGD$8168,184cc,Class 2B,27-May-17,26-May-27,48000km,2,Sport Tourers," Newly Coated All Black Honda CBF190X Fighthawk For Sale.Well Maintained.Full Tank 12L Can Go 360Km.Engine Oil Changed Every 1500Km.Replaced With:- Rosso Sport Tyre- Did X Ring Chain And SprocketNewly Changed Recently:- Battery - Air Filter Letting Go Because Upgrading.Price Negotiable But, No Low Ball. Accessories- 55L Black Metal Box With Rack",SGD$8168,SGD$8168,SGD$8168,SGD$8168
404,Harley Davidson,Harley Davidson Fat Boy 114,SGD$55600,1868cc,Class 2,31-Aug-21,30-Aug-31,3500km,2,Cruiser, August 2021 Harley Davidson Fat Boy 114 For Sale.PM For Details. Accessories- Solo Mustang Seat With Backrest- HD Heel Shifter- HD Highway Pegs- HD Hard Leather Panniers- HD Chrome Switch Caps- Relocated Rear Turn Signals- Tyres Treated With Ride-on Gel- Engine Crash Bar,SGD$55600,SGD$55600,SGD$55600,SGD$55600
405,Honda,Honda CBR150R,SGD$7200,150cc,Class 2B,29-Jul-14,28-Jul-24,37000km,1,Sport Bikes, Honda CBR150R For Sale.Well Maintained.Less Driven. Used As A Commute Bike To Office. Engine Oil Replacement Every 2K Kms. Changed Tyres At 25K. Slightly Negotiable.Please View Before Negotiating. ,SGD$7200,SGD$7200,SGD$7200,SGD$7200
406,Royal Enfield,Royal Enfield Classic 500,SGD$11800,499cc,Class 2,14-Dec-17,13-Dec-27,20136km,1,Street Bikes," Royal Enfield Classic 500 For Sale.Comes With Lots Of Accessories. Used As Hobby Bike Not For Daily Commute.Pristine Condition.Single Owner.Very Low Millage.Lithium Iron Battery, New Tyre, Front Brake Caliber Just Changed, ",SGD$11800,SGD$11800,SGD$11800,SGD$11800
407,Yamaha,Yamaha XT1200Z Super Tenere,SGD$12500,1199cc,Class 2,30-Sep-13,29-Sep-23,18100km,1,Sport Tourers," XT1200Z Super Tenere With Lots of Accessories.Selling Due To Lack Of Usage As Working From Home And Have A Car For The Kiddies.Low Mileage.Bike Is Well Taken Care Of And Really Only Been Broken In.Lots Of Extras.Price Is Somewhat Negotiable And Willing To Trade:DR-Z400SM, KTM 350 EXC-F, BMW G310GSFeel Free To Whatsapp. ",SGD$12500,SGD$12500,SGD$12500,SGD$12500
408,Yamaha,Yamaha Xmax 300,SGD$16800,292cc,Class 2A,16-Jul-19,15-Jul-29,30800km,1,Scooters, Selling 2019 Yamaha Xmax 300 With Body Sticker & Reflective Rimm Sticker(Value $450).Owner Is On A Retirement Mode.Bike Seldom Used Now.Never Go Riding Except Going To Work At Harbour Front.Price Is Negotiable.Cash ONO.Buyer Need To Find Your Own Finance. Accessories- Box With Stand- Original Side Seat Bar,SGD$16800,SGD$16800,SGD$16800,SGD$16800
409,Yamaha,Yamaha Sniper 150,Carry On Installment,150cc,Class 2B,28-Nov-18,27-Nov-28,60000km,3,Cubs, Yamaha Sniper 150 For Sale. I Am Letting Go Of My Bike With A Heavy Heart. Low Mileage.Using Pirelli Diablo Rosso Sport 70/90 (Front&Rear).Pass Me 2.5K In CashContinue My Coi @ $2Xx (27Mths Remaining).Pm Me For More Info. Accessories- Hel Brake Hose- Enkei 3 Spoke Rims 1.4Front 1.6Rear- Rapido Upgraded Tank (7L),Carry On Installment,Carry On Installment,Carry On Installment,Carry On Installment
410,Yamaha,Yamaha FJR1300,SGD$13000,1298cc,Class 2,7-Aug-09,31-Jan-29,68000km,2,Sport Tourers," Aug 2009 Yamaha Gen 2 For Sale.Well Taken Care Of.Fully Stock. Only Use The Bike As Transportation To Work. The Bike Do Not Have Any Accident On My Hand. The Only Thing Is Both Side Of The Box Have Some Scratch Mark Due To Drop It Stationary On 1 Side. Another Side Being Scratch By Other When My Bike Is Parked At Bike Lot. Riding For Near To 2 Year And Selling With A Heavy Heart Due To Family Commitments. Road Tax Till Aug 2022.Always Changed EO With Oil Filter On Every 6 Months Which Is Less Than 5K Mileage.Change On The Follow Wear And Tear:-IU - Battax T31 Tyre (Front 120/70/17, Rear Tyre 190/55/17)-High Quality Front Brake Pad-2 Pcs Rear Brake Light-YT14B-bs Battery-Coolant-Coolant Hose (Rubber And Metal)-Ngk Iridium Ix Cr8Eix 4218 Spark Plug X 4 Bike Is Fully Paid. View To See The Bike Condition.Contact Zhi Xin To View. Accessories- Tinted Windscreen - Dual Camera For Front And Back- Volt Meter - Kappa Rear Box",SGD$13000,SGD$13000,SGD$13000,SGD$13000
411,Honda,Honda CRF1000A Africa Twin,SGD$29000,998cc,Class 2,8-Nov-19,7-Nov-29,14148km,2,Sport Tourers," Nov 2019 Honda CRF1000L Africa Twin For Sale.My Leisure Bike When Not Travelling Overseas For Work. When Overseas, Always Covered And Parked At Mscp. So It Is Very Under Utilized.Special Note (For Shorter Riders):At Shown In The Photos Is With Original Honda Lowered Seat. I Am Only 165Cm And Riding This At With The Support Of The Ball Of My Left Feet. There Is No Need For Me To Install Lowering Link And Shortening The Front Fork Length. It Will Make The Bike Shorter. Tall Bikes Are Handsome. If You Think You Are Not Sure, You Are Most Welcome To Come And Try To Sit On The At For The Feel And Try Out. The Lowered Seat Is Selling Separately Though.Selling As Going For My Knee Operation Soon And Going To Stop Riding For A While. Bike Is Fully Paid. Full Cash Payment. Price Firmed For This Blue Tri-color + The Listed Accessories. AccessoriesOutback Motortek Crash Bar.Camel Windscreen Brace.Givi Pannier Rack.Givi Rear Rack Support.Givi Toolbox.Honda Top Box.Barkbuster Hand Guard + Bumper + Bar End Weight.Honda Center Main Stand.Hyperpro Rear Shock Spring. (Stiffer For Heavy Load)Front/Rear Camera.Techspec Tank Pads.Converted To Tubeless Wheels.",SGD$29000,,SGD$29000,SGD$29000
412,Yamaha,Yamaha RXZ,SGD$6000,133cc,Class 2B,19-Aug-86,31-Mar-23,91000km,17,Street Bikes," Japan Yamaha RXZ With A Lot Of Freebies.Eligible For $3,500 NEA Rebate.Still Using 2T Pump.Just Done Fully Overhaul.Recently Serviced ForkNewly Changed:-Front & Rear Tyres 80/90-18 (Dunlop TT100)Bike Fully Paid Accessories- 3BS Exhaust- Piston Size 1.00- Reed Valve V Force 4- Seat Rewrapped- Coverset (Madi) - Union Cycle Rim (1.6 Front And Back)- Rear Showa Suspension(Will Give You The Original Rear Suspensions Plus Spare Clutch Cable, Pillion Bar, Chain Guard And Also Side Mirrors)",SGD$6000,SGD$6000,SGD$6000,SGD$6000
413,Yamaha,Yamaha Aerox 155,SGD$10000,155cc,Class 2B,30-Sep-19,29-Sep-29,10200km,1,Scooters, Like New Yamaha Aerox 155.Selling As Under Utilise.PM For Details. ,SGD$10000,SGD$10000,SGD$10000,SGD$10000
414,Honda,Honda MSX125,SGD$12000,125cc,Class 2B,4-Mar-19,3-Mar-29,10000km,1,Super Motards, Fully Stocked Mar 2019 Honda MSX125. AccessoriesPhone Holder.Bottle Holder. Bike Cover.,SGD$12000,,SGD$12000,SGD$12000
415,Yamaha,Yamaha Xmax 300,SGD$16500,292cc,Class 2A,11-Mar-20,10-Mar-30,45925km,1,Scooters, Selling My Beloved Yamaha Xmax 300.Well Maintained.Regularly Service At Zaolor Motor. Selling Due To Downgrading To Smaller Bike So Can Share With My Father. Price Negotiable.Viewing At Woodlands. Accessories- YSS Rear Shock- Givi 42L Box- R&G Balancer- Semspeed Floor Board- Mirror Relocator,SGD$16500,SGD$16500,SGD$16500,SGD$16500
416,Yamaha,Yamaha YZF-R3,SGD$7800,321cc,Class 2A,5-Feb-16,4-Feb-26,37000km,2,Sport Bikes," Yamaha YZF-R3 For Sale.No Issues With The Bike.No Accidents, Never Dropped Under My Care.Servicing Done At Hong Leong Yamaha.Fully Syn Eo Every 5000 Km/6 Months.Recently Replaced:-Battery -Stator Assembly -Starter Motor -S22 Front Tyre Accessories- Akrapovic Exhaust(With Cert)- MRA Double Bubble Smoke Windshield - Progrip Grips- R6 Throttle Tube- Adjustable Levers- K&N Air Filter- Tank Pads- Radiator Guard",SGD$7800,,SGD$7800,
417,Honda,Honda CM125,SGD$1500,124cc,Class 2B,7-Jan-98,30-Nov-22,26000km,3,Street Bikes, Honda CM125 For Sale.PM For Details. ,SGD$1500,SGD$1500,SGD$1500,SGD$1500
418,Triumph,Triumph Street Triple 675,SGD$7000,675cc,Class 2,11-Nov-13,10-Nov-23,-,2,Street Bikes, Nov 2013 Triumph Street Triple 675 For Sale.With An In-line 3 Class 2 Bike - Pick Up Was Seamless & Powerful. Bike Is Well Maintained By Mah Motors Only.2nd Owner (Female Rider) Since 2014.Bike Has Never Been Involved In Any Accident.Bike Is Always Covered With Bike Cover When Parked Under My Block. ,SGD$7000,SGD$7000,SGD$7000,SGD$7000
419,Honda,Honda CBR400R,SGD$7500,399cc,Class 2A,2-Apr-14,1-Apr-24,75867km,3,Sport Bikes, 2014 Honda CBR400R For Sale.Price Open To Nego.View To Believe.Low Ballers Stay Away.Interested Buyer Please Offer Your Best And Wait For Acceptance.Do Not Ask What Is My Lowest. ,SGD$7500,,SGD$7500,SGD$7500
420,Yamaha,Yamaha Xmax 300,Carry On Installment,292cc,Class 2A,17-May-19,16-May-29,80000km,1,Scooters, Yamaha Xmax 300 For Sale.Best Price For Xmax And With Accessories.Condition 9/10.Cash $9000 & COI $292 X 29 Mth. AccessoriesFull Brembo Front And Rear Set.Hel Hose.Rcs 17.Rcs 16.Rcb Premium Suspension.Carbon Fiber Parts.Thai Speedometer. Gtr Footrest. Low Fork.Quadlock.,Carry On Installment,Carry On Installment,Carry On Installment,Carry On Installment
421,Honda,Honda PCX150,SGD$10600,149cc,Class 2B,5-Oct-19,4-Oct-29,34000km,2,Scooters, Honda PCX150 For Sale.Full Servicing Done June 2022.Newly Changed:-Belt-Brake-Oil-TyresPrice Can Be Negotiate. ,SGD$10600,,,SGD$10300
422,Yamaha,Yamaha T135 Spark,SGD$6000,135cc,Class 2B,20-Apr-10,19-Apr-25,736419km,3,Cubs," Yamaha T135 Spark For Sale.All Stock Parts, No Modifications.Engine: 9.5/10 Exterior: 10/10COE Non-renewable. ",SGD$6000,SGD$6000,SGD$6000,SGD$6000
423,Bajaj,Bajaj Pulsar DTS-i 200,SGD$6500,199cc,Class 2B,1-Jun-09,30-Apr-29,100000km,4,Street Bikes, Bajaj Pulsar Dtsi 200 For Sale. Excellent Fuel Efficiency.One Of The Best Fuel Efficiency For 2B Bike.Bike In Good Running Condition. Selling As Underused.Road Tax Until End Nov'22Servicing Done In June'22.Newly Replaced:-Tyres-Chain Kit-Starting Plug And Relay-Control Unit-Steering Cone-Speedometer-Body Comp Starter-Spark Plugs-Fully Synthetic Engine OilWilling To Nego For Serious Buyers. Am Willing To Accept Installment Payment If Necessary.Service Receipts Will Be Shown Upon Viewing. ,SGD$6500,SGD$6500,SGD$6500,SGD$6500
424,Suzuki,Suzuki Van Van 200,SGD$8500,199cc,Class 2B,30-Jun-17,29-Jun-27,12000km,3,Street Bikes, Suzuki Van Van 200 For Sale.Very Good Condition.Servicing Done May 22nd.Newly Replaced:-Tires-Tank-Smaller Handle Bar ,SGD$8500,SGD$8500,SGD$8500,SGD$8500
425,KTM,KTM 390 Adventure,SGD$22200,373cc,Class 2A,12-May-21,11-May-31,8500km,1,Sport Tourers," Registered In May 2021 KTM 390 Adventure.Maintenance Only Done At DW TampinesRecently Changed O-ring Gold Chain (Nov2021).Selling As Just Bought A Car.Currently Still Under Financing, If You Choose To Take Over Loan Will Be:Cash $11500 & COI $393 X 27Mths.Or Full Cash.Price Open To Nego.Small Extras Like Chain Lube And Stuff I Dont Need Will Throw In Together With The Sale.(Kriega Tank Bag Will Be Removed Before Sale). Accessories35L Top Box.Ktm Powerparts Soft Panniers.Ktm Quickshifter.Crashpro Full Crash Bars.Front/Rear Cam.Doubletake Adventure Mirrors",SGD$22200,SGD$22200,SGD$22200,SGD$22200
426,Yamaha,Yamaha Tmax 530,SGD$8000,530cc,Class 2,19-Dec-13,18-Dec-23,70000km,2,Scooters, Dec 2013 Yamaha Tmax 530 For Sale.Always Service At AC Motor.Road Tax Till Dec 2022.New Number Plate Will Given.*Hepco & Becker Rack & Kappa 58L Aluminium Box With Backrest Will Be Dekitted. AccessoriesAkrapovic Full System With Cert.Naked Handlebar.Front And Rear Camera.,SGD$8000,SGD$8000,SGD$8000,SGD$8000
427,Harley Davidson,Harley Davidson XR1200,SGD$16999,1200cc,Class 2,15-Sep-09,31-Aug-29,85000km,3,Street Bikes, A Rare And Valued Harley Davidson XR1200. Agile With Loads Of Torque Ideal For Urban Rides.All Parts Stock Except For After Market Shock. Original Rear Suspension Will Be Provided.No Test Ride.Price Negotiable. AccessoriesRear Hagon Shocks.,SGD$16999,SGD$16999,SGD$16999,SGD$16999
428,Kawasaki,Kawasaki Versys 650,SGD$17200,649cc,Class 2,24-Aug-11,12-Sep-31,104669km,1,Sport Tourers," 2011 Kawasaki Versys 650 For Sale! Selling Due to Driving Car Now.Engine Condition: 10/10.Performance: 9/10.Outlook Condition: 8/10.Well Maintained And Taken Care Off By Single Owner.Strictly Serviced Slightly Ahead Of Schedule For Longevity Usage.All Stock.Fuel Savvy Bike.Can Reach Up To 410Km Mileage Before Reserve.Replaced In 2019:2 X Front Brake Pads.Chain And Sprocket.Replaced In 2021:Battery,Tyres,Clutch Cable.Bike Fully Paid.Viewing In Pasir Ris. AccessoriesOriginal Givi Side Boxes.Engine Guard.Original Puig Windscreen For Touring.Ram Phone Mount.",SGD$17200,SGD$17200,SGD$17200,SGD$17200
429,Triumph,Triumph Street Triple R 675,SGD$12000,675cc,Class 2B,9-Dec-11,31-Oct-31,96000km,1,Street Bikes, 2012 Street Triumph Triple R (Pearl White).Front And Rear Suspension Fully Adjustable. First And Only Owner. VC Every 20K Km. Last VC At 90K Km. Throttle Body And Injector Wash At March 2022. Replacement Done In 2019:-Ignition (Ignition And Tank Uses 2 Diff Keys. Both Are Original Keys)Replacement Done In 2020:-RectifierReplacement Done In 2021:-Starter MotorReplacement Done In 2022:-Coil Accessories- Triumph Fly Screen - Triumph Visor- Triumph Bellypan- Triumph Hugger- Triumph Carbon Fiber Tankpad- Triumph Oem Quickshifter. - Zard Exhaust With Cert- Rizoma Grips- Rizoma Signal Lights ( Front And Rear )- Star Brake Hose (Front) - Brembo Rcs 16 Brake Pump (Front)- Brembo Brake Discs (Front) - Sprint Air Filter - Samco Coolant Hose (Blue)- Evotech Raidator Guard- Rng Sliders (Front And Rear)- Evotech Frame Slider - Koso Voltmeter- Puig Bar End Mirror - Customised Forged Carbon Front Fender- Customised Forged Carbon Radiator Cowling,SGD$12000,SGD$12000,SGD$12000,SGD$12000
430,Yamaha,Yamaha Aerox 155,SGD$10600,155cc,Class 2B,4-Jun-19,3-Jun-29,50000km,1,Scooters, Yamaha Aerox 155 With 1 Month Old Coverset.PM For Details. Accessories- Project Fi Cvt Set - Brembo Rcs19 Masterpump- Brembo 2Pot Caliper- Kingdrag Brake Hose- Stage 6 Glossy Black Side Mirror- NCY Fork - 9L Fuel Tank - RCB Rim (Gold)- Aftermarket Ducati Tailight- BRD Radiator W Samco Hose - DNA Air Filter- Aftermarket Intake Hose,SGD$10600,,SGD$10600,SGD$10600
431,Honda,Honda GL1800A Goldwing,SGD$35000,1832cc,Class 2,13-Feb-15,12-Feb-25,43497km,2,Sport Tourers, 2015 Honda GL1800A Goldwing.Comes With License Plate Number 777 & Many Uninstalled Accessories.Parked under shade and covered Sales To Direct Buyer Only. No Dealer Please.Viewing In Serangoon Area. ,SGD$35000,SGD$35000,SGD$35000,SGD$35000
432,Yamaha,Yamaha FZ16 ST,SGD$2000,153cc,Class 2B,6-Dec-12,5-Dec-22,55000km,1,Street Bikes, Yamaha FZ16 ST For Sale.All Original Parts Not Used No Modification. Not Used Much As I Was Traveling Overseas On Job Commitments.What You See Is What You Get.Serious Buyers Can Be Negotiable. ,SGD$2000,,SGD$2000,SGD$2000
433,Gilera,Gilera ST200 Runner,SGD$3200,198cc,Class 2B,29-Apr-13,28-Apr-23,55000km,2,Scooters, Gilera ST200 Runner For Sale.PM For Details. ,SGD$3200,SGD$3200,SGD$3200,SGD$3200
434,KTM,KTM 390 Duke,SGD$3888,373cc,Class 2A,13-Jan-14,12-Jan-24,-,2,Street Bikes," 2014 KTM 390 Duke For Sale.Bike Haven Been Ridden Much In The Last 2 Years Cause Of Work From Home. Used To Just Do 5Km Ride To Office And Back.Very Underused. Selling Cause Have 2 Car And Don't Ride Anymore. Service Regularly At Speedzone.Recently Full Serviced $700+ After Not Riding For Long Time.Price To Go Asap, Can Come Down And Test, But No Nego. First Come First Served.Viewing Is Free And Non Obligatory.However If You Want To Reserve, A Nonrefundable Deposit Of $100 Is Required. If Not Sold Will Just Go Sell In Shop Already. ",SGD$3888,SGD$3888,SGD$3888,SGD$3888
435,Honda,Honda NM4 Vultus,SGD$16200,745cc,Class 2,27-Dec-17,26-Dec-27,40588km,1,Cruiser, Honda NM4 Vultus.Selling On Behalf Of My Friend.1 Owner.Accident Free.Service Regularly.Rd Tax Till June 2022. Bike Still Under 24 Mths Installment.$354 Monthly Till 06/2024 (2 Years).Owner Has Been Paying $360 Monthly For More Than A Year Till Now.Price Nego For Serious Buyer.You May Contact Or WhatsApp Him For Further Details. ,SGD$16200,SGD$16200,SGD$16200,SGD$16200
436,Honda,Honda CB190X Tourism,SGD$9000,184cc,Class 2B,24-Jul-18,23-Jul-28,50000km,1,Sport Tourers, Selling My Honda CB190X Tourism Due To Leaving From Singapore On Aug 2022.Letting Go With The Added Additional Accessories.Well Maintained And Good Condition.First Owner.Since I Bought The Bike Always Maintained With N95 Fuel Till Now.Using The Bike Only For Transportation To Work Only. Engine Oil Change Every Month.Spark Plug Change Every Three Month.Recently Changed Brake Pads.Interested Person Pls Contact Or Whatsapp For Further Discussion. Accessories- Camera Both Front And Back Side With Recorder And Memory Card- Tank Box For Personal Belonging Storage - Front Bumper- Handle Gripper- Volt Meter - Royal Enfield Mirror - Front Side Placed Fully Black Sticker- Engine Safety Mate- Handle Bar,SGD$9000,SGD$8800,SGD$8600,SGD$8600
437,Yamaha,Yamaha T135 Spark,SGD$7500,135cc,Class 2B,21-Jun-12,20-Jun-27,88888km,4,Cubs, Yamaha T135 Spark For Sale.In Good Conditions.Just Renew Coe 5 Years.COE Non Renewable. ,SGD$7500,SGD$7500,SGD$7500,SGD$7500
438,Kawasaki,Kawasaki Z400,SGD$18000,399cc,Class 2A,19-Feb-21,18-Feb-31,7235km,1,Street Bikes," 2021 Kawasaki Z400 For Sale.Super Reliable 2A Bike With Good Torque And Low Mileage. A Very Responsive Bike, Excellent On The Corners. Road Tax Just Renewed Till Feb 2023.Replacement Done In Dec 2021:- T32 Tyres - Afram Sprocket & Chain Fully Paid.Room For Nego If Serious.Pls Source Your Own Loan.Hit Me Up For More Info! Accessories- Afram Sprocket & Chain- SC Project Pipe (Lta Approved)- Hella Horn",SGD$18000,SGD$18000,SGD$18000,SGD$18000
439,Ducati,Ducati Multistrada 1260 Pikes Peak,SGD$49800,1262cc,Class 2,21-Jun-19,20-Jun-29,14500km,2,Sport Tourers," Selling My Under Utilised 2019 Ducati Multistrada 1260 Pikes Peak. In Tip Top Condition.Most Of The Original Items Are Included On Top Of The Aftermarket Items Installed.Slight Nego Is Possible, Please Do Not Lowball. Re-financing Can Be Arrange. My Loss Is Your Gain. Viewing Advised. Accessories✅ Techspec Snakeskin Tank Pads✅ Front & Rear Camera (Via App)✅ Touratech Bellypan For Engine Guard✅ Touratech Crashbar✅ Touratech Radiator Guard✅ Bmc Air Filter✅ Touratech Fog Lights✅ Touratech Oil Cooler Guard✅ Ducati Givi Tanklock Tankbag + Flange✅ Ducati Givi Topbox✅ Crash Bar Guard Protector Bumper✅ Grip Puppy Throttle Grips✅ Tft Screen Display Protector✅ Headlight Protectors✅ Star-carbon Handle Protectors✅ Star-carbon Upper Chainguard✅ Low & High Seat Saddles✅ Brake & Clutch Socks✅ Newly Changed Diablo Rosso Ii Tires✅ Star-carbon Rear Mudguard✅ Star-carbon Water Pump Cover✅ Carbon Handsfree Cover✅ Bigfoot✅ Decal By Cuztom Studio-cs Grafixx✅ Evotech Ep Spindle Bobbin Kit Front & Rear✅ Carbon-fiber Cheek Fairings.✅ Wireless Bluetooth Connection.✅ Original Carbon Windshield.✅ Original Carbon Front Fender.✅ Öhlins Provides The Fully-adjustable Stems At Both Ends With Inverted Forks Up Front And A Rear ✅Ttx36 Monoshock.✅ Street Legal Carbon Termignoni.",SGD$49800,SGD$49800,SGD$49800,SGD$49800
440,Yamaha,Yamaha YZF-R15,SGD$13500,155cc,Class 2B,15-Mar-21,14-Mar-31,3278km,1,Sport Bikes, Yamaha YZF-R15 With Abs For Sale.Perfect Condition.One Owner. PM For Details. ,SGD$13500,SGD$13500,SGD$13500,SGD$13500
441,Scomadi,Scomadi TL200 Turismo Leggera,SGD$8500,181cc,Class 2B,15-May-18,14-May-28,12000km,1,Scooters," A Classic Ride With The Iconic Retro Lambretta Look. A Powerful 198cc Engine For A Light Scooter Provides For A Smooth Cruise Even On Highways. 1 Owner. Always Parked Indoors. New Speedometer And Mitas SS Touring Tyres. Vicom Passed May 2021. Full Servicing Just Done Sept 2021: - Clutch Bell, Timing Belt, Filters. Serious Buyers Only. Fully Paid. Cash Transaction Only. ",SGD$8500,SGD$8500,SGD$8500,SGD$8500
442,Honda,Honda CBR600RR,SGD$13500,599cc,Class 2,25-Apr-11,31-Mar-31,71000km,5,Sport Bikes," Registered April 2011 CBR600RR PC40.Direct Owner.Servicing Done Within The Recent 5k Mileage:-Engine Oil & Oil Filter-Sprint Air Filter-Bridgestone S22 Tyre 1 Set-Rim Bearings-L Tyre Valve-Sbs Front Sintered Brake Pad-Manual Cam Chain Tensioner-Front Sprocket Seal-Coolant Flush-Traxxion Front Forks Springs-Fork Oil-Samco Hose With Clips-Steering Cone Bearing Set-Valve Clearance,-Spark Plug-Fi Service-Timing Chain-Clutch Housing-Clutch Plate-Supersprox-Did Chain AccessoriesSprint Air Filter ( Reusable And Washable, Like Your Reusable Mask ).Gb Racing Engine Guards.Oxford Brake Lever.Zero Gravity Corsa Clear Windshield.Rcs Corsa Corta With Security Bolts.2 Months Old China Fairings.Lta Approve Leo Vince Slip On Exhaust.Evotech Tail Tidy.Gear Indicator.Koso Voltmeter.Samco Hose.Single Seater.Front And Rear Axle Sliders.Headlight Protectors.",SGD$13500,SGD$13500,SGD$13500,SGD$14500
